Feature,Test,Statistic,P-Value,Sig(p<.05),r_PBC,Mean_Neg,Mean_Pos,Effect_Dir
age,Mann-Whitney U,6975.0,4e-06,✓,0.2609,49.67,57.311,↑
ca,Chi²,27.59,4e-06,✓,0.2972,0.45,1.039,↑
cp,Chi²,18.9856,0.000275,✓,0.2444,0.75,1.282,↑
exang,Chi²,8.4114,0.003729,✓,0.1741,0.265,0.437,↑
thalach,Mann-Whitney U,11614.5,0.068881,✗,-0.1174,150.215,144.951,↓
slope,Chi²,3.7603,0.152565,✗,-0.0543,1.46,1.388,↓
oldpeak,Mann-Whitney U,9300.5,0.166021,✗,0.0681,0.936,1.064,↑
trestbps,Mann-Whitney U,9300.5,0.166574,✗,0.0869,130.63,133.65,↑
thal,Chi²,2.1902,0.334501,✗,0.0744,2.275,2.369,↑
sex,Chi²,0.9177,0.338072,✗,-0.0627,0.73,0.67,↓
restecg,Chi²,0.9014,0.637176,✗,-0.005,0.53,0.524,↓
fbs,Chi²,0.0017,0.96752,✗,-0.0123,0.145,0.136,↓
chol,Mann-Whitney U,10315.0,0.983985,✗,0.0102,250.35,251.456,↑
